harvest,location,point,count,season,spp,origin,cut,year,numb_yrs_grow,wall,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total,winners
decker,interior,213,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,0
decker,interior,213,1,2020,ab,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,385.1589656094425,0,385.1589656094425,385.1589656094425,0
decker,interior,213,1,2020,bta,veg,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
decker,interior,214,1,2020,wa,veg,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
decker,interior,214,1,2020,bta,veg,2019,2020,1,protected,0,0,0,0,10128.358482059844,385.1589656094425,0,0,0,10513.517447669286,10513.517447669286,1155.4768968283274
decker,interior,215,1,2020,ba,veg,2019,2020,1,protected,0,0,0,0,2025.6716964119687,385.1589656094425,0,0,0,2410.830662021411,2410.830662021411,1155.4768968283274
decker,interior,216,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
decker,interior,217,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
decker,interior,218,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
decker,interior,219,1,2020,ab,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,385.1589656094425,0,385.1589656094425,385.1589656094425,385.1589656094425
decker,interior,219,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
decker,interior,220,1,2020,sb,singl/unk,2019,2020,1,protected,0,0,0,0,2025.6716964119687,385.1589656094425,0,0,0,2410.830662021411,2410.830662021411,385.1589656094425
decker,interior,220,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,1012.8358482059843,1540.63586243777,0,0,0,2553.4717106437542,2553.4717106437542,770.317931218885
decker,interior,220,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,385.1589656094425
decker,interior,221,1,2020,ro,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
decker,interior,222,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,5064.179241029922,0,0,0,0,5064.179241029922,5064.179241029922,1540.63586243777
decker,interior,223,1,2020,ab,veg,2019,2020,1,protected,0,0,0,0,0,770.317931218885,0,0,0,770.317931218885,770.317931218885,770.317931218885
decker,interior,223,1,2020,ro,singl/unk,2019,2020,1,protected,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
decker,interior,224,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
decker,interior,225,1,2020,empty,singl/unk,2019,2020,1,protected,0,0,0,0,0,0,0,0,0,0,0,0
